[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using Parallel
[0.374s][info][metaspace] Reserving compressed class space anywhere
[0.374s][info][gc,metaspace] CDS archive(s) not mapped
[0.374s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffee7000000-0x00007fffa7000000, reserved size: 3221225472
[0.374s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.374s][info][gc,metaspace] Narrow klass base: 0x00007ffee7000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 1024
Num Objects per Class: 65536
Cycles: 100
Class association: random
Generate 1024 classes...[2.469s][info][gc,metaspace] GC(0) Metaspace: 26252K(27392K)->26252K(27392K) NonClass: 20597K(20800K)->20597K(20800K) Class: 5655K(6592K)->5655K(6592K)
[2.469s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1536M->3M(5888M) 5.991ms
[3.756s][info][gc,metaspace] GC(1) Metaspace: 27082K(28352K)->27082K(28352K) NonClass: 21426K(21696K)->21426K(21696K) Class: 5656K(6656K)->5656K(6656K)
[3.756s][info][gc          ] GC(1) Pause Young (Allocation Failure) 1539M->4M(5888M) 4.852ms

Loading 1024...[4.467s][info][gc,metaspace] GC(2) Metaspace: 28634K(29824K)->28634K(29824K) NonClass: 21991K(22208K)->21991K(22208K) Class: 6643K(7616K)->6643K(7616K)
[4.467s][info][gc          ] GC(2) Pause Young (System.gc()) 926M->4M(5888M) 4.572ms
[4.486s][info][gc,metaspace] GC(3) Metaspace: 28634K(29824K)->28634K(29824K) NonClass: 21991K(22208K)->21991K(22208K) Class: 6643K(7616K)->6643K(7616K)
[4.486s][info][gc          ] GC(3) Pause Full (System.gc()) 4M->4M(5888M) 18.705ms
Creating 65536 objects per class...
Done; will start GCs... 
[12.378s][info][gc,metaspace] GC(4) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[12.378s][info][gc          ] GC(4) Pause Young (System.gc()) 826M->773M(5888M) 2037.277ms
[14.501s][info][gc,metaspace] GC(5) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[14.501s][info][gc          ] GC(5) Pause Full (System.gc()) 773M->772M(5888M) 2123.466ms
[14.502s][info][gc,metaspace] GC(6) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[14.502s][info][gc          ] GC(6) Pause Young (System.gc()) 772M->772M(5888M) 0.514ms
[15.375s][info][gc,metaspace] GC(7) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[15.375s][info][gc          ] GC(7) Pause Full (System.gc()) 772M->772M(5888M) 872.791ms
[15.376s][info][gc,metaspace] GC(8) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[15.376s][info][gc          ] GC(8) Pause Young (System.gc()) 772M->772M(5888M) 0.524ms
[16.199s][info][gc,metaspace] GC(9) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[16.199s][info][gc          ] GC(9) Pause Full (System.gc()) 772M->772M(5888M) 822.953ms
[16.199s][info][gc,metaspace] GC(10) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[16.199s][info][gc          ] GC(10) Pause Young (System.gc()) 772M->772M(5888M) 0.534ms
[16.858s][info][gc,metaspace] GC(11) Metaspace: 43113K(49792K)->43113K(49792K) NonClass: 25206K(25792K)->25206K(25792K) Class: 17907K(24000K)->17907K(24000K)
[16.858s][info][gc          ] GC(11) Pause Full (System.gc()) 772M->772M(5888M) 658.824ms
[16.859s][info][gc,metaspace] GC(12) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[16.859s][info][gc          ] GC(12) Pause Young (System.gc()) 772M->772M(5888M) 0.761ms
[17.561s][info][gc,metaspace] GC(13) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[17.561s][info][gc          ] GC(13) Pause Full (System.gc()) 772M->772M(5888M) 702.049ms
[17.562s][info][gc,metaspace] GC(14) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[17.562s][info][gc          ] GC(14) Pause Young (System.gc()) 772M->772M(5888M) 0.495ms
[18.220s][info][gc,metaspace] GC(15) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[18.220s][info][gc          ] GC(15) Pause Full (System.gc()) 772M->772M(5888M) 658.356ms
[18.221s][info][gc,metaspace] GC(16) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[18.221s][info][gc          ] GC(16) Pause Young (System.gc()) 772M->772M(5888M) 0.476ms
[18.886s][info][gc,metaspace] GC(17) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[18.886s][info][gc          ] GC(17) Pause Full (System.gc()) 772M->772M(5888M) 665.050ms
[18.886s][info][gc,metaspace] GC(18) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[18.886s][info][gc          ] GC(18) Pause Young (System.gc()) 772M->772M(5888M) 0.459ms
[19.555s][info][gc,metaspace] GC(19) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[19.555s][info][gc          ] GC(19) Pause Full (System.gc()) 772M->772M(5888M) 668.740ms
[19.556s][info][gc,metaspace] GC(20) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[19.556s][info][gc          ] GC(20) Pause Young (System.gc()) 772M->772M(5888M) 0.590ms
[20.207s][info][gc,metaspace] GC(21) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[20.207s][info][gc          ] GC(21) Pause Full (System.gc()) 772M->772M(5888M) 650.890ms
[20.207s][info][gc,metaspace] GC(22) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[20.208s][info][gc          ] GC(22) Pause Young (System.gc()) 772M->772M(5888M) 0.545ms
[20.866s][info][gc,metaspace] GC(23) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[20.866s][info][gc          ] GC(23) Pause Full (System.gc()) 772M->772M(5888M) 658.080ms
[20.870s][info][gc,metaspace] GC(24) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[20.870s][info][gc          ] GC(24) Pause Young (System.gc()) 772M->772M(5888M) 0.453ms
[21.517s][info][gc,metaspace] GC(25) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[21.517s][info][gc          ] GC(25) Pause Full (System.gc()) 772M->772M(5888M) 646.351ms
[21.518s][info][gc,metaspace] GC(26) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[21.518s][info][gc          ] GC(26) Pause Young (System.gc()) 772M->772M(5888M) 0.762ms
[22.166s][info][gc,metaspace] GC(27) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[22.166s][info][gc          ] GC(27) Pause Full (System.gc()) 772M->772M(5888M) 648.326ms
[22.167s][info][gc,metaspace] GC(28) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[22.167s][info][gc          ] GC(28) Pause Young (System.gc()) 772M->772M(5888M) 0.823ms
[22.838s][info][gc,metaspace] GC(29) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[22.838s][info][gc          ] GC(29) Pause Full (System.gc()) 772M->772M(5888M) 670.752ms
[22.839s][info][gc,metaspace] GC(30) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[22.839s][info][gc          ] GC(30) Pause Young (System.gc()) 772M->772M(5888M) 0.477ms
[23.509s][info][gc,metaspace] GC(31) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[23.509s][info][gc          ] GC(31) Pause Full (System.gc()) 772M->772M(5888M) 670.706ms
[23.510s][info][gc,metaspace] GC(32) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[23.510s][info][gc          ] GC(32) Pause Young (System.gc()) 772M->772M(5888M) 0.600ms
[24.205s][info][gc,metaspace] GC(33) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[24.205s][info][gc          ] GC(33) Pause Full (System.gc()) 772M->772M(5888M) 695.176ms
[24.206s][info][gc,metaspace] GC(34) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[24.206s][info][gc          ] GC(34) Pause Young (System.gc()) 772M->772M(5888M) 0.567ms
[24.887s][info][gc,metaspace] GC(35) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[24.887s][info][gc          ] GC(35) Pause Full (System.gc()) 772M->772M(5888M) 681.217ms
[24.888s][info][gc,metaspace] GC(36) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[24.888s][info][gc          ] GC(36) Pause Young (System.gc()) 772M->772M(5888M) 0.465ms
[25.542s][info][gc,metaspace] GC(37) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[25.542s][info][gc          ] GC(37) Pause Full (System.gc()) 772M->772M(5888M) 654.192ms
[25.543s][info][gc,metaspace] GC(38) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[25.543s][info][gc          ] GC(38) Pause Young (System.gc()) 772M->772M(5888M) 0.490ms
[26.187s][info][gc,metaspace] GC(39) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[26.188s][info][gc          ] GC(39) Pause Full (System.gc()) 772M->772M(5888M) 644.746ms
[26.192s][info][gc,metaspace] GC(40) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[26.192s][info][gc          ] GC(40) Pause Young (System.gc()) 772M->772M(5888M) 0.588ms
[26.872s][info][gc,metaspace] GC(41) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[26.872s][info][gc          ] GC(41) Pause Full (System.gc()) 772M->772M(5888M) 679.097ms
[26.872s][info][gc,metaspace] GC(42) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[26.872s][info][gc          ] GC(42) Pause Young (System.gc()) 772M->772M(5888M) 0.462ms
[27.554s][info][gc,metaspace] GC(43) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[27.554s][info][gc          ] GC(43) Pause Full (System.gc()) 772M->772M(5888M) 682.155ms
[27.555s][info][gc,metaspace] GC(44) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[27.555s][info][gc          ] GC(44) Pause Young (System.gc()) 772M->772M(5888M) 0.568ms
[28.228s][info][gc,metaspace] GC(45) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[28.228s][info][gc          ] GC(45) Pause Full (System.gc()) 772M->772M(5888M) 672.813ms
[28.228s][info][gc,metaspace] GC(46) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[28.229s][info][gc          ] GC(46) Pause Young (System.gc()) 772M->772M(5888M) 0.460ms
[28.870s][info][gc,metaspace] GC(47) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[28.870s][info][gc          ] GC(47) Pause Full (System.gc()) 772M->772M(5888M) 641.415ms
[28.871s][info][gc,metaspace] GC(48) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
[28.871s][info][gc          ] GC(48) Pause Young (System.gc()) 772M->772M(5888M) 0.492ms
[29.704s][info][gc,metaspace] GC(49) Metaspace: 43114K(49792K)->43114K(49792K) NonClass: 25207K(25792K)->25207K(25792K) Class: 17907K(24000K)->17907K(24000K)
