[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.391s][info][metaspace] Reserving compressed class space anywhere
[0.391s][info][gc,metaspace] CDS archive(s) not mapped
[0.391s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.391s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.391s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 1024
Num Objects per Class: 65536
Cycles: 100
Class association: random
Generate 1024 classes...[1.367s][info][gc,metaspace] GC(0) Metaspace: 25371K(26496K)->25371K(26496K) NonClass: 19787K(19968K)->19787K(19968K) Class: 5584K(6528K)->5584K(6528K)
[1.367s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->4M(6144M) 5.145ms
[1.730s][info][gc,metaspace] GC(1) Metaspace: 25678K(26816K)->25678K(26816K) NonClass: 20093K(20288K)->20093K(20288K) Class: 5584K(6528K)->5584K(6528K)
[1.730s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 328M->4M(6144M) 4.494ms

Loading 1024...[4.743s][info][gc,metaspace] GC(2) Metaspace: 28577K(29760K)->28577K(29760K) NonClass: 21992K(22208K)->21992K(22208K) Class: 6585K(7552K)->6585K(7552K)
[4.743s][info][gc          ] GC(2) Pause Full (System.gc()) 3226M->4M(6144M) 20.273ms
Creating 65536 objects per class...
Done; will start GCs... 
[11.281s][info][gc,metaspace] GC(3) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[11.281s][info][gc          ] GC(3) Pause Full (System.gc()) 796M->776M(6144M) 455.403ms
[11.689s][info][gc,metaspace] GC(4) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[11.689s][info][gc          ] GC(4) Pause Full (System.gc()) 776M->776M(6144M) 408.483ms
[12.096s][info][gc,metaspace] GC(5) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[12.096s][info][gc          ] GC(5) Pause Full (System.gc()) 776M->776M(6144M) 407.129ms
[12.465s][info][gc,metaspace] GC(6) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[12.465s][info][gc          ] GC(6) Pause Full (System.gc()) 776M->776M(6144M) 368.748ms
[12.847s][info][gc,metaspace] GC(7) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[12.847s][info][gc          ] GC(7) Pause Full (System.gc()) 776M->776M(6144M) 381.845ms
[13.206s][info][gc,metaspace] GC(8) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[13.206s][info][gc          ] GC(8) Pause Full (System.gc()) 776M->776M(6144M) 358.859ms
[13.598s][info][gc,metaspace] GC(9) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[13.598s][info][gc          ] GC(9) Pause Full (System.gc()) 776M->776M(6144M) 391.648ms
[13.937s][info][gc,metaspace] GC(10) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[13.937s][info][gc          ] GC(10) Pause Full (System.gc()) 776M->776M(6144M) 338.407ms
[14.310s][info][gc,metaspace] GC(11) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[14.310s][info][gc          ] GC(11) Pause Full (System.gc()) 776M->776M(6144M) 373.009ms
[14.673s][info][gc,metaspace] GC(12) Metaspace: 43052K(49728K)->43052K(49728K) NonClass: 25203K(25792K)->25203K(25792K) Class: 17849K(23936K)->17849K(23936K)
[14.673s][info][gc          ] GC(12) Pause Full (System.gc()) 776M->776M(6144M) 363.657ms
