[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.446s][info][metaspace] Reserving compressed class space anywhere
[0.446s][info][gc,metaspace] CDS archive(s) not mapped
[0.446s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.446s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.446s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.421s][info][gc,metaspace] GC(0) Metaspace: 25334K(26496K)->25334K(26496K) NonClass: 19786K(20032K)->19786K(20032K) Class: 5547K(6464K)->5547K(6464K)
[1.421s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->4M(6144M) 5.010ms
[1.870s][info][gc,metaspace] GC(1) Metaspace: 25629K(26752K)->25629K(26752K) NonClass: 20081K(20288K)->20081K(20288K) Class: 5547K(6464K)->5547K(6464K)
[1.870s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 328M->4M(6144M) 4.605ms

Loading 256...[2.279s][info][gc,metaspace] GC(2) Metaspace: 26479K(27584K)->26479K(27584K) NonClass: 20624K(20800K)->20624K(20800K) Class: 5855K(6784K)->5855K(6784K)
[2.279s][info][gc          ] GC(2) Pause Full (System.gc()) 376M->3M(6144M) 15.994ms
Creating 262144 objects per class...
Done; will start GCs... 
[6.211s][info][gc,metaspace] GC(3) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21448K(21760K)->21448K(21760K) Class: 8671K(10880K)->8671K(10880K)
[6.211s][info][gc          ] GC(3) Pause Full (System.gc()) 783M->775M(6144M) 370.802ms
[6.531s][info][gc,metaspace] GC(4) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21448K(21760K)->21448K(21760K) Class: 8671K(10880K)->8671K(10880K)
[6.531s][info][gc          ] GC(4) Pause Full (System.gc()) 775M->775M(6144M) 319.963ms
[6.827s][info][gc,metaspace] GC(5) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21448K(21760K)->21448K(21760K) Class: 8671K(10880K)->8671K(10880K)
[6.827s][info][gc          ] GC(5) Pause Full (System.gc()) 775M->775M(6144M) 295.717ms
[7.123s][info][gc,metaspace] GC(6) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21448K(21760K)->21448K(21760K) Class: 8671K(10880K)->8671K(10880K)
[7.123s][info][gc          ] GC(6) Pause Full (System.gc()) 775M->775M(6144M) 295.920ms
[7.472s][info][gc,metaspace] GC(7) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[7.473s][info][gc          ] GC(7) Pause Full (System.gc()) 775M->775M(6144M) 345.202ms
[7.789s][info][gc,metaspace] GC(8) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[7.789s][info][gc          ] GC(8) Pause Full (System.gc()) 775M->775M(6144M) 316.140ms
[8.089s][info][gc,metaspace] GC(9) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[8.089s][info][gc          ] GC(9) Pause Full (System.gc()) 775M->775M(6144M) 300.277ms
[8.401s][info][gc,metaspace] GC(10) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[8.401s][info][gc          ] GC(10) Pause Full (System.gc()) 775M->775M(6144M) 312.288ms
[8.715s][info][gc,metaspace] GC(11) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[8.715s][info][gc          ] GC(11) Pause Full (System.gc()) 775M->775M(6144M) 313.320ms
[9.014s][info][gc,metaspace] GC(12) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[9.015s][info][gc          ] GC(12) Pause Full (System.gc()) 775M->775M(6144M) 299.697ms
[9.317s][info][gc,metaspace] GC(13) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[9.317s][info][gc          ] GC(13) Pause Full (System.gc()) 775M->775M(6144M) 302.423ms
[9.636s][info][gc,metaspace] GC(14) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[9.636s][info][gc          ] GC(14) Pause Full (System.gc()) 775M->775M(6144M) 319.055ms
[9.934s][info][gc,metaspace] GC(15) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[9.934s][info][gc          ] GC(15) Pause Full (System.gc()) 775M->775M(6144M) 297.670ms
[10.243s][info][gc,metaspace] GC(16) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[10.243s][info][gc          ] GC(16) Pause Full (System.gc()) 775M->775M(6144M) 308.418ms
[10.575s][info][gc,metaspace] GC(17) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[10.575s][info][gc          ] GC(17) Pause Full (System.gc()) 775M->775M(6144M) 332.841ms
[10.876s][info][gc,metaspace] GC(18) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[10.876s][info][gc          ] GC(18) Pause Full (System.gc()) 775M->775M(6144M) 300.164ms
[11.189s][info][gc,metaspace] GC(19) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[11.189s][info][gc          ] GC(19) Pause Full (System.gc()) 775M->775M(6144M) 313.657ms
[11.485s][info][gc,metaspace] GC(20) Metaspace: 30120K(32640K)->30120K(32640K) NonClass: 21449K(21760K)->21449K(21760K) Class: 8671K(10880K)->8671K(10880K)
[11.485s][info][gc          ] GC(20) Pause Full (System.gc()) 775M->775M(6144M) 295.105ms
